DATE,NA000334Q
2000-07-01,2578060.0
2000-10-01,2655679.0
2001-01-01,2562436.0
2001-04-01,2656364.0
2001-07-01,2651331.0
2001-10-01,2711685.0
2002-01-01,2631502.0
2002-04-01,2724224.0
2002-07-01,2753434.0
2002-10-01,2827263.0
2003-01-01,2744149.0
2003-04-01,2832509.0
2003-07-01,2887132.0
2003-10-01,2994460.0
2004-01-01,2922104.0
2004-04-01,3033260.0
2004-07-01,3068978.0
2004-10-01,3189392.0
2005-01-01,3109156.0
2005-04-01,3231134.0
2005-07-01,3305748.0
2005-10-01,3390598.0
2006-01-01,3334041.0
2006-04-01,3462006.0
2006-07-01,3463172.0
2006-10-01,3555390.0
2007-01-01,3479565.0
2007-04-01,3610965.0
2007-07-01,3630580.0
2007-10-01,3730752.0
2008-01-01,3643352.0
2008-04-01,3704567.0
2008-07-01,3682872.0
2008-10-01,3682056.0
2009-01-01,3510967.0
2009-04-01,3593534.0
2009-07-01,3617046.0
2009-10-01,3727386.0
2010-01-01,3592249.0
2010-04-01,3744069.0
2010-07-01,3778575.0
2010-10-01,3877159.0
2011-01-01,3748311.0
2011-04-01,3881126.0
2011-07-01,3913784.0
2011-10-01,3999363.0
2012-01-01,3947585.0
2012-04-01,4036139.0
2012-07-01,4071213.0
2012-10-01,4142070.0
2013-01-01,4049584.0
2013-04-01,4163863.0
2013-07-01,4234415.0
2013-10-01,4336990.0
2014-01-01,4193475.0
2014-04-01,4355448.0
2014-07-01,4449960.0
2014-10-01,4528375.0
2015-01-01,4393454.0
2015-04-01,4564400.0
2015-07-01,4614854.0
2015-10-01,4665593.0
2016-01-01,4499936.0
2016-04-01,4677266.0
2016-07-01,4741738.0
2016-10-01,4826136.0
2017-01-01,4664696.0
2017-04-01,4872720.0
2017-07-01,4946231.0
2017-10-01,5059332.0
2018-01-01,4932159.0
2018-04-01,5154603.0
2018-07-01,5219546.0
2018-10-01,5305554.0
2019-01-01,5132160.0
2019-04-01,5357342.0
2019-07-01,5415390.0
2019-10-01,5528336.0
2020-01-01,5245520.0
2020-04-01,4901784.0
2020-07-01,5321262.0
